lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
46.959265,7.463514,1565681019998,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,,0,Bern
46.936896,7.436388,1565290075997,1,0,0,5,8,0,0,0,0,0,0,0,0,0,1,"strasse zu schmal, autos können nicht überholen und überholen zu knapp",0,Bern
46.959357,7.463572,1565849261995,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,,0,Bern
46.936038,7.389413,1565711613201,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,"Auto aus Hauseinfahrt",0,Bern
46.938449,7.396704,1565711708196,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,"Kind aus Einfahrt ohne zu schauen ",0,Bern
46.956534,7.437844,1566888491149,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Ich fahre extra in der Mitte der Fahrbahn und signalisiere links abbiegen. Auto überholt recht zügig und sehr knapp.",0,Bern
46.949292,7.447800,1565777896204,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Bern
46.940548,7.458750,1565787935241,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,"Lichtampel ist für Velos, die vom Dälholzli Wald kommen, bei gewissen Lichtverhältnissen nicht gut einsehbar, da sie primär für die Autofahrer im Kreisel ausgerichtet ist. Vorschlag: 2. Ampelleuchte Richtung Wald.",0,Bern
46.947309,7.438337,1565279280064,1,0,0,4,8,0,0,0,0,0,0,0,0,1,0,"Baustelle",0,Bern
46.932181,7.433240,1566485923996,1,0,0,4,8,0,0,0,0,0,0,0,0,1,0,"Schmale Fahrbahn & Kolonnen-Verkehr : Velofahrer werden aufs Troittoir abgedrängt.",0,Bern
46.940180,7.449350,1565333057193,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Bern
46.941326,7.463688,1566197883998,3,0,0,5,7,0,0,1,0,0,0,0,0,0,0,,0,Bern
46.923083,7.414326,1565332480998,1,0,1,0,8,0,0,0,0,0,0,1,0,0,0,"Im Kreisel von älterem PKW-Fahrer Vortritt genommen (er fuhr in den Kreisel direkt vir mir, wzrde fast angefahren)!!!!",0,Bern
46.929184,7.448756,1565332974999,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,"Vortritt genommen von Velofahrer, der vom Troittoir auf die Strasse fährt ohne zu schauen",0,Bern
46.953965,7.445045,1566314852001,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,"Meine Hüfte hat den Seitenspiegel berührt. Ich glaube das gilt als zu nah überholt.",0,Bern
46.953283,7.432636,1566200018128,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,"Scheiss Kreuzung. Linksabbieger vom Bühlplatz nehmen da den Velofahrern sehr oft die Vorfahrt.",0,Bern
46.941528,7.465924,1565624526997,3,0,0,5,3,0,0,0,0,0,0,1,0,0,0,,0,Bern
46.935399,7.391349,1565795874184,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Bern
46.946639,7.448259,1565711744000,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,Bern
46.957040,7.455714,1565789891998,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,,0,Bern
46.945751,7.437324,1565703258992,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,,0,Bern
46.949383,7.458846,1567080357996,1,0,0,5,3,0,0,0,1,0,0,0,0,0,1,"",0,Bern
46.960441,7.461225,1567784628999,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"Kante Randstein",0,Bern
46.943822,7.480745,1568622662996,3,0,0,5,7,0,0,0,0,0,0,0,0,1,0,"Baustelle",0,Bern
46.943083,7.469620,1567522020000,3,0,0,5,7,0,0,0,0,0,0,0,0,1,0,"Baustelle",0,Bern
46.943464,7.478427,1567522131999,3,0,0,5,7,0,0,1,0,0,0,0,0,0,0,,0,Bern
46.95551254,7.48077419,1569042861955,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,,0,Bern
